frame.number,frame.time,ip.src,ip.dst,tcp.srcport,tcp.dstport,udp.srcport,udp.dstport,http.host,http.request.method,dns.qry.name
"25","Mar 27, 2025 00:30:10.963748000 India Standard Time",,,,,,,,,
"26","Mar 27, 2025 00:30:11.276847000 India Standard Time","172.16.44.208","13.107.246.58","65223","443",,,,,
"27","Mar 27, 2025 00:30:11.303071000 India Standard Time","13.107.246.58","172.16.44.208","443","65223",,,,,
"28","Mar 27, 2025 00:30:11.303071000 India Standard Time","13.107.246.58","172.16.44.208","443","65223",,,,,
"29","Mar 27, 2025 00:30:11.303071000 India Standard Time","13.107.246.58","172.16.44.208","443","65223",,,,,
"30","Mar 27, 2025 00:30:11.303173000 India Standard Time","172.16.44.208","13.107.246.58","65223","443",,,,,
"31","Mar 27, 2025 00:30:11.303369000 India Standard Time","172.16.44.208","13.107.246.58","65223","443",,,,,
"32","Mar 27, 2025 00:30:11.325810000 India Standard Time","13.107.246.58","172.16.44.208","443","65223",,,,,
"33","Mar 27, 2025 00:30:14.588137000 India Standard Time","172.16.44.208","4.213.25.240","49479","443",,,,,
"34","Mar 27, 2025 00:30:14.630203000 India Standard Time","4.213.25.240","172.16.44.208","443","49479",,,,,
"35","Mar 27, 2025 00:30:14.655605000 India Standard Time","4.213.25.240","172.16.44.208","443","49479",,,,,
"36","Mar 27, 2025 00:30:14.697102000 India Standard Time","172.16.44.208","4.213.25.240","49479","443",,,,,
"37","Mar 27, 2025 00:30:14.840765000 India Standard Time","172.16.44.208","157.240.192.55","65266","443",,,,,
"38","Mar 27, 2025 00:30:14.848113000 India Standard Time","157.240.192.55","172.16.44.208","443","65266",,,,,
"39","Mar 27, 2025 00:30:14.848212000 India Standard Time","172.16.44.208","157.240.192.55","65266","443",,,,,
"40","Mar 27, 2025 00:30:14.848629000 India Standard Time","172.16.44.208","157.240.192.55","65266","443",,,,,
"41","Mar 27, 2025 00:30:14.855338000 India Standard Time",,,,,,,,,
"42","Mar 27, 2025 00:30:14.855359000 India Standard Time",,,,,,,,,
"43","Mar 27, 2025 00:30:14.869723000 India Standard Time","172.16.44.208","157.240.192.55","65266","443",,,,,
"44","Mar 27, 2025 00:30:14.872629000 India Standard Time","172.16.44.208","172.16.1.11",,,"49152","53",,,"g.whatsapp.net"
"45","Mar 27, 2025 00:30:15.004631000 India Standard Time","157.240.192.55","172.16.44.208","443","65266",,,,,
"46","Mar 27, 2025 00:30:15.017646000 India Standard Time","172.16.1.11","172.16.44.208",,,"53","49152",,,"g.whatsapp.net"
"47","Mar 27, 2025 00:30:15.042516000 India Standard Time","157.240.192.55","172.16.44.208","443","65266",,,,,
"48","Mar 27, 2025 00:30:15.187145000 India Standard Time","157.240.192.55","172.16.44.208","443","65266",,,,,
"49","Mar 27, 2025 00:30:16.165315000 India Standard Time","172.16.44.208","20.192.44.80","63691","443",,,,,
"50","Mar 27, 2025 00:30:16.306622000 India Standard Time","20.192.44.80","172.16.44.208","443","63691",,,,,
"51","Mar 27, 2025 00:30:16.493437000 India Standard Time",,,,,,,,,
"52","Mar 27, 2025 00:30:16.493464000 India Standard Time",,,,,,,,,
"53","Mar 27, 2025 00:30:18.050346000 India Standard Time","172.16.44.208","103.10.124.5","63713","443",,,,,
"54","Mar 27, 2025 00:30:18.284158000 India Standard Time","103.10.124.5","172.16.44.208","443","63713",,,,,
"55","Mar 27, 2025 00:30:18.587767000 India Standard Time","20.192.44.80","172.16.44.208","443","63691",,,,,
"56","Mar 27, 2025 00:30:18.635533000 India Standard Time","172.16.44.208","20.192.44.80","63691","443",,,,,
"57","Mar 27, 2025 00:30:19.975552000 India Standard Time",,,,,,,,,
"58","Mar 27, 2025 00:30:19.975586000 India Standard Time",,,,,,,,,
"59","Mar 27, 2025 00:30:22.022280000 India Standard Time",,,,,,,,,
"60","Mar 27, 2025 00:30:23.451654000 India Standard Time","172.16.44.208","20.42.73.31","65153","443",,,,,
"61","Mar 27, 2025 00:30:23.508609000 India Standard Time","20.42.73.31","172.16.44.208","443","65153",,,,,
"62","Mar 27, 2025 00:30:23.992157000 India Standard Time","172.16.44.208","34.237.73.95","63715","443",,,,,
"63","Mar 27, 2025 00:30:24.039568000 India Standard Time","34.237.73.95","172.16.44.208","443","63715",,,,,
"64","Mar 27, 2025 00:30:24.408272000 India Standard Time","172.16.44.208","129.227.206.5","64949","443",,,,,
"65","Mar 27, 2025 00:30:24.415252000 India Standard Time","34.237.73.95","172.16.44.208","443","63715",,,,,
"66","Mar 27, 2025 00:30:24.415252000 India Standard Time","129.227.206.5","172.16.44.208","443","64949",,,,,
"67","Mar 27, 2025 00:30:24.464814000 India Standard Time","172.16.44.208","34.237.73.95","63715","443",,,,,
"68","Mar 27, 2025 00:30:24.992656000 India Standard Time",,,,,,,,,
"69","Mar 27, 2025 00:30:26.119395000 India Standard Time",,,,,,,,,
"70","Mar 27, 2025 00:30:32.166221000 India Standard Time","172.16.44.208","20.192.44.80","63691","443",,,,,
"71","Mar 27, 2025 00:30:32.215437000 India Standard Time","20.192.44.80","172.16.44.208","443","63691",,,,,
"72","Mar 27, 2025 00:30:33.000044000 India Standard Time","172.16.44.208","34.237.73.95","63715","443",,,,,
"73","Mar 27, 2025 00:30:33.129981000 India Standard Time","34.237.73.95","172.16.44.208","443","63715",,,,,
"74","Mar 27, 2025 00:30:33.685467000 India Standard Time","20.192.44.80","172.16.44.208","443","63691",,,,,
"75","Mar 27, 2025 00:30:33.731975000 India Standard Time","172.16.44.208","20.192.44.80","63691","443",,,,,
"76","Mar 27, 2025 00:30:36.008865000 India Standard Time","172.16.44.208","104.18.27.90","64731","443",,,,,
"77","Mar 27, 2025 00:30:36.118175000 India Standard Time","104.18.27.90","172.16.44.208","443","64731",,,,,
"78","Mar 27, 2025 00:30:37.792436000 India Standard Time",,,,,,,,,
