No.,Time,Source,Destination,Protocol,Length,Info
141,27.174026,23,8,4,60,3
142,27.283195,23,8,5,93,118
143,27.335591,0,11,1,342,130
144,27.335591,0,11,1,370,137
145,27.335591,37,22,0,56,180
146,27.337727,9,20,4,54,72
147,27.43773,37,22,0,56,180
148,27.437853,45,22,0,56,202
149,27.539963,37,22,0,56,201
150,27.642696,37,22,0,56,180
151,28.463991,42,22,0,56,182
152,28.76963,36,22,0,56,178
153,28.76963,36,22,0,56,178
154,29.178686,48,22,0,56,112
155,29.314664,9,9,4,55,73
156,29.317074,10,8,4,66,5
157,29.590226,37,22,0,56,201
158,29.590226,48,22,0,64,139
159,29.590226,36,22,0,56,178
160,30.100126,0,11,1,342,136
161,30.305028,36,22,0,56,178
162,30.305028,36,22,0,56,178
163,30.514678,37,22,0,56,114
164,31.021776,41,22,0,56,168
165,31.226536,48,22,0,56,171
166,31.432902,48,22,0,56,112
167,31.587814,9,18,4,66,102
168,31.604223,21,8,4,66,47
169,31.604366,9,18,4,54,98
170,31.609026,9,18,6,500,126
171,31.613521,21,8,4,60,43
173,31.623891,21,8,4,1514,44
174,31.623891,21,8,4,1514,45
175,31.623891,21,8,4,1514,46
176,31.623891,21,8,6,267,118
177,31.624001,9,18,4,54,101
178,31.626892,9,18,6,134,123
179,31.627238,9,18,6,670,118
180,31.642468,21,8,6,513,118
181,31.642588,9,18,4,54,99
182,31.694175,21,8,6,927,118
183,31.694296,9,18,4,54,100
184,31.740273,29,22,0,56,157
185,31.740273,48,22,0,56,171
186,32.746858,7,8,5,240,118
187,32.788743,9,6,4,54,80
188,32.845653,9,6,5,126,118
189,32.8508,7,8,4,60,15
190,34.500027,9,1,4,55,87
191,34.504166,2,8,4,66,30
192,34.668925,9,0,4,55,88
193,34.678317,1,8,4,66,31
194,35.52751,11,22,0,56,177
195,35.630875,29,22,0,56,216
196,35.630875,29,22,0,56,194
197,35.630875,29,22,0,56,159
198,35.630875,29,22,0,56,195
199,35.633082,29,22,0,56,157
200,35.633082,29,22,0,56,209
201,35.633082,29,22,0,56,158
202,35.633082,29,22,0,56,211
203,35.633082,29,22,0,56,198
204,35.633082,29,22,0,56,200
205,35.633082,29,22,0,56,192
206,35.633082,29,22,0,56,165
207,35.633082,29,22,0,56,208
208,35.633082,29,22,0,56,214
209,35.633082,29,22,0,56,176
210,35.633082,29,22,0,56,203
211,35.633082,29,22,0,56,161
212,35.633082,29,22,0,56,213
213,35.837726,29,22,0,56,207
214,36.449681,29,22,0,56,159
215,36.449681,29,22,0,56,213
216,36.491491,7,8,5,240,118
217,36.525019,9,6,5,126,118
218,36.530358,7,8,4,60,16
219,36.858258,29,22,0,56,207
220,38.419998,9,14,5,293,118
221,38.420792,9,6,5,123,118
222,38.423503,17,8,4,60,10
223,38.425312,7,8,4,60,17
224,38.642345,7,8,5,125,118
225,38.665546,17,8,5,314,118
226,38.681677,9,6,4,54,81
227,38.713516,9,14,4,54,77
228,40.648751,43,22,0,56,172
229,41.267942,41,22,0,56,168
230,41.288147,9,21,4,55,89
231,41.29121,26,8,4,66,32
232,42.494081,0,11,1,342,133
233,42.592787,28,22,0,56,181
234,42.594125,28,22,0,56,181
235,42.594125,28,22,0,56,181
236,42.695638,9,10,4,55,90
237,42.695727,38,22,0,56,184
238,42.711374,12,8,4,66,33
239,43.823379,28,22,0,56,204
